Symbol ,Name                            ,Summary                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,Website ,Headquarters
XOM    ,Exxon Mobil Corp                ,"Exxon Mobil Corporation is an international energy and petrochemical company. Its primary businesses include exploration for, and production of, crude oil and natural gas; manufacturing, transport and sale of crude oil, natural gas, petroleum products, petrochemicals, and a variety of specialty products; and pursuit of lower-emission business opportunities including carbon capture and storage, hydrogen, lower-emission fuels and lithium. The Upstream segment explores for and...More"   ,N/A     ,"22777 SPRINGWOODS VILLAGE PARKWAYSpring, TX77389-1425United States"
WMT    ,Walmart Inc                     ,"Walmart Inc. is a technology-powered omnichannel retailer. The Company is engaged in the operation of retail and wholesale stores and clubs, as well as e-commerce websites and mobile applications, located throughout the United States, Africa, Canada, Central America, Chile, China, India and Mexico. It operates through three segments: Walmart U.S., Walmart International and Sam's Club. The Walmart U.S. segment includes the Company's mass merchant concept in the United States...More"   ,N/A     ,"702 SW 8th StBentonville, AR72716-6209United States"
VZ     ,Verizon Communications Inc      ,"Verizon Communications Inc. is a holding company. The Company, through its subsidiaries, provides communications, information and entertainment products and services to consumers, businesses and governmental agencies. Its reportable segments are Verizon Consumer Group and Verizon Business Group. Its Consumer segment provides wireless and wireline communications services. Its wireless services are provided across wireless networks in the United States (U.S.) under the Verizon...More"  ,N/A     ,"1095 Avenue Of The AmericasNew York, NY10036United States"
USB    ,US Bancorp                      ,"U.S. Bancorp is a financial service holding company. The Company’s major lines of business are Wealth, Corporate, Commercial and Institutional Banking, Consumer and Business Banking, Payment Services, and Treasury and Corporate Support. The Company provides a range of financial services, including lending and depository services, cash management, capital markets, and trust and investment management services. It also engages in credit card services, merchant and ATM...More"            ,N/A     ,"800 Nicollet MallMinneapolis, MN55402-7020United States"
UNP    ,Union Pacific Corp              ,"Union Pacific Corporation is a railroad operating company in the United States. The Company operates through its principal operating company, Union Pacific Railroad Company (UPRR). It connects over 23 states in the western two-thirds of the country and maintains coordinated schedules with other rail carriers to move freight to and from the Atlantic Coast, the Pacific Coast, the Southeast, the Southwest, Canada, and Mexico. Its Railroad's diversified business mix includes...More"      ,N/A     ,"1400 Douglas StreetOmaha, NE68179United States"
UNH    ,Unitedhealth Group Inc          ,"UnitedHealth Group Incorporated is a healthcare company. The Company has two businesses, Optum and UnitedHealthcare. Optum serves the health care marketplace, including patients and consumers, payers, care providers, employers, governments and life sciences companies. UnitedHealthcare offers a full range of health benefits designed to simplify the health care experience and make it more affordable for consumers to access care. UnitedHealthcare Employer & Individual serves...More"     ,N/A     ,"9900 BREN ROAD EASTMinnetonka, MN55343United States"
TMUS   ,T-Mobile US Inc                 ,"T-Mobile US, Inc. is a provider of mobile communications services, including voice, messaging and data, under its flagship brands, T-Mobile and Metro by T-Mobile in the United States, Puerto Rico and the United States Virgin Islands. The Company provides mobile communications services primarily using its 4G Long Term Evolution (LTE) network and its 5G technology network. It also offers a selection of wireless devices, including handsets, tablets and other mobile communication...More" ,N/A     ,"12920 Se 38Th StreetBellevue, WA98006United States"
T      ,AT&T Inc                        ,"AT&T Inc. is a holding company. The Company is a provider of telecommunications and technology services globally. The Company operates through two segments: Communications and Latin America. The Communications segment provides wireless and wireline telecom and broadband services to consumers located in the United States and businesses globally. The business units of the Communication segment include Mobility, Business Wireline and Consumer Wireline. Mobility provides...More"          ,N/A     ,"208 S. Akard StDallas, TX75202United States"
PSX    ,Phillips 66                     ,"Phillips 66 is a diversified and integrated downstream energy provider that manufactures, transports and markets products that drive the global economy. The Company’s Midstream segment provides crude oil and refined petroleum product transportation, terminating and processing services, as well as natural gas and natural gas liquids (NGL) transportation, storage, fractionation, gathering, processing and marketing services, mainly in the United States. Its Chemicals segment...More"     ,N/A     ,"2331 Citywest Blvd.Houston, TX77042United States"
PR     ,Permian Resources Corp          ,"Permian Resources Corporation is an independent oil and natural gas company. The Company is focused on the acquisition, optimization and development of oil and natural gas properties. The Company's assets and operations are concentrated in the core of the Delaware Basin. Its position consists of over 479,500 net leasehold acres and approximately 94,900 net royalty acres across the Permian Basin. The majority of its assets are concentrated within the Delaware Basin in Eddy and...More" ,N/A     ,"300 N. Marienfeld St., Ste. 1000Midland, TX79701United States"
