Last Name,TotalAmount,NYSE,HoldingGroup,Ticker,SumAmount
Exxon,3000,YES,,XOM,
EXXON CORPORTION,2500,YES,,XOM,
Exxon Mobil,5500,YES,,XOM,
Exxon Mobil Corp,2500,YES,,XOM,
Exxon Mobil Corporation,25000,YES,,XOM,
Exxon Mobile Corporation,4500,YES,,XOM,
ExxonMobil,3500,YES,,XOM,46500
"Walmart Stores, Inc",550,YES,,WMT,
Verizon,8750,YES,,VZ,
US Bank,3600,YES,,USD,
U.P. Railroad Company,1000,YES,,UNP,
UP Railroad,1000,YES,,UNP,
UP Railroad Co.,1000,YES,,UNP,
UP Railroad Company,2500,YES,,UNP,
UP RAILROAD COMPANY,500,YES,,UNP,18350
UnitedHealth Group,2500,YES,,UNH,
UnitedHealth Group Inc. PAC,2000,YES,,UNH,
T Mobile,3160,YES,,TMUS,
T-Mobile,1000,YES,,TMUS,
"T-Mobile USA, INC",2500,YES,,TMUS,
"T-Mobile USA, Inc.",1000,YES,,TMUS,7660
AT&T,9500,YES,,T,
"AT&T Services, Inc.",5905,YES,,T,15405
Phillips 66,1000.66,YES,,PSX,
Phillips 66 Co.,750.66,YES,,PSX,
Phillips 66 Company,5753.96,YES,,PSX,7505.28
Permian Resources,2500,YES,,PR,
Permian Resources Operating LLC,11000,YES,,PR,
"Permian Resources Operating, LLC",15000,YES,,PR,28500
"PM1 Global Services, Inc",1500,YES,,PM,
PMI Global Services,19000,YES,,PM,
PMI Global Services Inc,23750,YES,,PM,
PMI Global Services Inc.,36000,YES,,PM,
PMI Global Services INC.,2500,YES,,PM,
"PMI Global Services, Inc",11000,YES,,PM,
"PMI Global Services, Inc.",11000,YES,,PM,104750
Pepsi INC,1000,YES,,PEP,
Pepsico,2500,YES,,PEP,
Pepsico Inc,500,YES,,PEP,
Pepsico Inc.,1500,YES,,PEP,
"PepsiCo, Inc.",500,YES,,PEP,6000
PENN Entertainment Inc,2500,YES,,PENN,
Penn Entertainment Inc.,4500,YES,,PENN,
"Penn Entertainment, Inc",1000,YES,,PENN,
"PENN Entertainment, Inc.",1000,YES,,PENN,9000
Occidental Petroleum,8000,YES,,OXY,
Occidental Petroleum Corp,4000,YES,,OXY,
Occidental Petroleum Corporation,8000,YES,,OXY,
OCCIDENTAL PETROLEUM CORPORATION,8000,YES,,OXY,28000
Novo Nordisk,2500,YES,,NVO,
Novo Nordisk Inc.,1000,YES,,NVO,3500
Next Era Energy,5000,YES,,NEE,
NextEra Energy,5000,YES,,NEE,
NextEra Energy Resources Development LLC,500,YES,,NEE,
NextEra Energy Resources LLC,28000,YES,,NEE,
NextERA Energy Resources LLC,1000,YES,,NEE,
"NextEra Energy Resources, LLC",2500,YES,,NEE,42000
Motorola Solutions,1000,YES,,MSI,
Motorola Solutions Inc Political Action Committee,500,YES,,MSI,
"Motorola Solutions, Inc PAC",500,YES,,MSI,
"Motorola Solutions, Inc. PAC",1000,YES,,MSI,
Motorola Soultions Inc. PAC,500,YES,,MSI,3500
Marathon Oil Co.,10000,YES,,MRO,
Marathon Oil Company,15000,YES,,MRO,25000
Eli Lilly,2000,YES,,LLY,
Eli Lilly and Company & Subsidiaries,1000,YES,,LLY,
Eli Lilly Campany & Subsideries,1000,YES,,LLY,4000
CHS Community Health Systems,500,YES,Community Health Systems,CYH,
CHS SHARED BUSINESS OPERATION S LLC,1000,YES,,CYH,
CHS Shared Business Operations,500,YES,,CYH,
CHS Shared Business Operations LLC,1500,YES,,CYH,
"CHS Shared Business Operations, LLC",1000,YES,,CYH,37500
Community Health Systems,8700,YES,,CYH,
Community Health Systems (CHS),500,YES,,CYH,
"Community Health Systems, LLC",500,YES,,CYH,0
Clearway Energy Group LLC,1000,YES,,CWEN,
Chevron,149000,YES,,CVX,
CHEVRON,5500,YES,,CVX,
Chevron Corporate Affairs,5500,YES,,CVX,
CHEVRON CORPORATE AFFAIRS,5500,YES,,CVX,
Chevron Policy Government and Public Affairs,5500,YES,,CVX,
Chevron Policy Govt & Publ Affairs,27500,YES,,CVX,
Chevron U.S.A. Inc.,5500,YES,,CVX,
Chevron USA,16500,YES,,CVX,
Chevron USA Inc,16500,YES,,CVX,
"Chevron USA, Inc",5500,YES,,CVX,
"Chevron USA, Inc.",11000,YES,,CVX,
Chevron USA. Inc,50000,YES,,CVX,
"Chevron, Inc.",25000,YES,,CVX,
"Chevron, U.S.A., Inc.",5500,YES,,CVX,
"Chevron, USA, Inc",5500,YES,,CVX,339500
CVS Health,7000,YES,,CVS,
CVS Health CVS Pharmacy Inc,1500,YES,,CVS,
CVS Health Services,1500,YES,,CVS,
CVS Pharmacy Inc,2000,YES,,CVS,12000
Conoco Philips Govt. Affairs & Regulatory Practices of New Mexico,1000,YES,,COP,
Conoco Phillips,10750,YES,,COP,
CONOCO PHILLIPS CO,500,YES,,COP,
Conoco Phillips Co.,1000,YES,,COP,
Conoco Phillips Company,7500,YES,,COP,
Conoco Phillips Corp,10000,YES,,COP,
Conoco Phillips Corporation,1500,YES,,COP,
ConocoPhillips,35000,YES,,COP,
ConocoPhillips Company,16500,YES,,COP,83750
Comcast,1000,YES,,CMCSA,
Comcast Cable,500,YES,,CMCSA,
Comcast Financial Agency Corp,500,YES,,CMCSA,
Comcast Financial Agency Corporation,2500,YES,,CMCSA,4500
Civitas Resources,1000,YES,,CIVI,
Civitas Resources Inc,1000,YES,,CIVI,
Civitas Resources Inc.,2500,YES,,CIVI,
"Civitas Resources, Inc",7500,YES,,CIVI,
"Civitas Resources, Inc.",2000,YES,,CIVI,14000
Cigna Corp Employee PAC,750,YES,,CI,
Cigna PAC,500,YES,,CI,1250
The Cigna Group Employee PAC,500,YES,,CI,
Anheiser Busch,750,YES,,BUD,
Anheuser  Busch,1000,YES,,BUD,
Anheuser Buch Companies,750,YES,,BUD,
Anheuser Busch,19000,YES,,BUD,
ANHEUSER BUSCH,1750,YES,,BUD,
Anheuser Busch Co,750,YES,,BUD,
Anheuser Busch Companies,5250,YES,,BUD,
Anheuser Busch Company,2500,YES,,BUD,
Anheuser Busch Corporation,500,YES,,BUD,
Anheuser Bush Companies,500,YES,,BUD,
Anheuser-Busch,2500,YES,,BUD,
Anheuser-Busch Companies,3250,YES,,BUD,38500
Bank of America,2500,YES,,BUD,
BNSF Railway,500,YES,Berkshire Hathaway,BRK.B,
BNSF Railway Company,5000,YES,,BRK.B,5500
BMS PAC,500,YES,Bristol-Myers Squibb Co,BMY,
Bristol Meyers Squibb Company,500,YES,,BMY,
Bristol Myers Squibb Company,500,YES,,BMY,
Bristol-Myers Squibb Co. PAC,500,YES,,BMY,
Bristol-Myers Squibb Company PAC,500,YES,,BMY,2000
Apex Clean Energy Holdings,4000,YES,Ares Management Corporation (NYSE: ARES),ARES,
Apex Clean Energy Holdings LLC,2000,YES,,ARES,
"Apex Clean Energy Holdings, LLC",4000,YES,,ARES,10000
Apache Corporation PAC,2500,YES,,APA,
Apache Corporation Political Action Committee,5000,YES,,APA,7500
Avangrid,1500,YES,,AGR,
AVANGRID,137.5,YES,,AGR,
Avangrid Inc,1250,YES,,AGR,2887.5
Bill Fenn Oil Producers,3000,NO,,BFO,
El Paso Electric Company Employee PAC New Mexico,2000,NO,infrastructure investments fund (iif) ownership,EPE,
El Paso Electric Company Employee PAC NM,1000,NO,,EPE,
Harvard Petroleum Co,2000,NO,,HPC,
Harvard Petroleum Co. Inc,1000,NO,,HPC,
Harvard Petroleum Company,13500,NO,,HPC,16500
Hodges Oil Company,1000,NO,,HOC,
Hodgs Oil Company Inc,1000,NO,,HOC,2000
Jalapeno Corp,10000,NO,,JCO,
Jalapeno Corporation,81500,NO,,JCO,
Jalapeño Corporation,5000,NO,,JCO,
JALEPENO CORPORATION,3000,NO,,JCO,
Jalpeno Corporation,5000,NO,,JCO,104500
Melbourne Oil Company,2500,NO,,MOC,
Merrion Oil & Gas Corp PAC,1500,NO,,MOG,
Merrion Oil & Gas Corporation,5500,NO,,MOG,
Merrion Oil & Gas PAC,6000,NO,,MOG,
Merrion Oil and Gas,1500,NO,,MOG,14500
Mewboourne Oil,1000,NO,,MOC,
Mewbourne Oil Co.,2500,NO,,MOC,
Mewbourne Oil Company,14500,NO,,MOC,
MewBourne Oil Company,2500,NO,,MOC,23000
Murphy Petroleum,5500,NO,,MPC,
Murphy Petroleum Corp,5500,NO,,MPC,
Murphy Petroleum Corp.,5500,NO,,MPC,
Murphy Petroleum Corporation,11000,NO,,MPC,27500
Nave Oil & Gas,3000,NO,,NOG,
"New Mexico Gas Co., Inc.",5500,NO,,NMGC,
New Mexico Gas Company,20500,NO,,NMGC,
"New Mexico Gas Company, Inc.",2000,NO,,NMGC,28000
Oil & Gas Equipment Corp,2500,NO,,OGE,
Oil and Gas Equipment,2500,NO,,OGE,
Oil and Gas Equipment Corp,3000,NO,,OGE,8000
S.E.S. Investments LTD,5500,NO,,SES,
"S.E.S. Investments, Ltd.",5500,NO,,SES,11000
"Securin, Inc",27500,NO,,SEC,
Strata Production Co.,2500,NO,,SPC,
Strata Production Company,75000,NO,,SPC,
