companyName,ticker,profile,website,headquarters,industry,largeBlockOwners,totalShares,institutionOwners,fundOwners,otherHolders,northAmHoldings,southAmHoldings,euroHoldings,africaHoldings,asiaHoldings,ausHoldings
Exxon Mobil Corp                ,XOM,"Exxon Mobil Corporation is an international energy and petrochemical company. Its primary businesses include exploration for, and production of, crude oil and natural gas; manufacturing, transport and sale of crude oil, natural gas, petroleum products, petrochemicals, and a variety of specialty products; and pursuit of lower-emission business opportunities including carbon capture and storage, hydrogen, lower-emission fuels and lithium. The Upstream segment explores for and...More   ",https://corporate.exxonmobil.com/,"22777 SPRINGWOODS VILLAGE PARKWAYSpring, TX77389-1425United States",OilGas,4697,2900000000,4625,3536,72,51.3,,6.2,,1.2,0.1
Walmart Inc                     ,WMT,"Walmart Inc. is a technology-powered omnichannel retailer. The Company is engaged in the operation of retail and wholesale stores and clubs, as well as e-commerce websites and mobile applications, located throughout the United States, Africa, Canada, Central America, Chile, China, India and Mexico. It operates through three segments: Walmart U.S., Walmart International and Sam's Club. The Walmart U.S. segment includes the Company's mass merchant concept in the United States...More   ",https://corporate.walmart.com/,"702 SW 8th StBentonville, AR72716-6209United States",Retail,4213,6600000000,4137,3536,76,72.1,,3.5,,0.5,0.1
Verizon Communications Inc      ,VZ,"Verizon Communications Inc. is a holding company. The Company, through its subsidiaries, provides communications, information and entertainment products and services to consumers, businesses and governmental agencies. Its reportable segments are Verizon Consumer Group and Verizon Business Group. Its Consumer segment provides wireless and wireline communications services. Its wireless services are provided across wireless networks in the United States (U.S.) under the Verizon...More  ",https://www.verizon.com/,"1095 Avenue Of The AmericasNew York, NY10036United States",Telecommunications,3600,2800000000,"3,532",3476,68,47.3,,10.1,,1.1,0.2
US Bancorp                      ,USB,"U.S. Bancorp is a financial service holding company. The Company’s major lines of business are Wealth, Corporate, Commercial and Institutional Banking, Consumer and Business Banking, Payment Services, and Treasury and Corporate Support. The Company provides a range of financial services, including lending and depository services, cash management, capital markets, and trust and investment management services. It also engages in credit card services, merchant and ATM...More            ",https://www.usbank.com/,"800 Nicollet MallMinneapolis, MN55402-7020United States",Finance,2154,1300000000,2098,2230,56,62.1,,7.1,,3.9,0.2
Union Pacific Corp              ,UNP,"Union Pacific Corporation is a railroad operating company in the United States. The Company operates through its principal operating company, Union Pacific Railroad Company (UPRR). It connects over 23 states in the western two-thirds of the country and maintains coordinated schedules with other rail carriers to move freight to and from the Atlantic Coast, the Pacific Coast, the Southeast, the Southwest, Canada, and Mexico. Its Railroad's diversified business mix includes...More      ",https://www.up.com/index.htm,"1400 Douglas StreetOmaha, NE68179United States",Trasportation,3720,497500000,3208,3215,62,61.9,,10.3,,1.6,0.5
Unitedhealth Group Inc          ,UNH,"UnitedHealth Group Incorporated is a healthcare company. The Company has two businesses, Optum and UnitedHealthcare. Optum serves the health care marketplace, including patients and consumers, payers, care providers, employers, governments and life sciences companies. UnitedHealthcare offers a full range of health benefits designed to simplify the health care experience and make it more affordable for consumers to access care. UnitedHealthcare Employer & Individual serves...More     ",,"9900 BREN ROAD EASTMinnetonka, MN55343United States",Healthcare,4484,831900000,4414,5887,70,67.9,12.7,0.4,,1.5,0.3
T-Mobile US Inc                 ,TMUS,"T-Mobile US, Inc. is a provider of mobile communications services, including voice, messaging and data, under its flagship brands, T-Mobile and Metro by T-Mobile in the United States, Puerto Rico and the United States Virgin Islands. The Company provides mobile communications services primarily using its 4G Long Term Evolution (LTE) network and its 5G technology network. It also offers a selection of wireless devices, including handsets, tablets and other mobile communication...More ",,"12920 Se 38Th StreetBellevue, WA98006United States",Telecommunications,2067,1100000000,2005,3076,62,30,,55.8,,7.9,
AT&T Inc                        ,T,"AT&T Inc. is a holding company. The Company is a provider of telecommunications and technology services globally. The Company operates through two segments: Communications and Latin America. The Communications segment provides wireless and wireline telecom and broadband services to consumers located in the United States and businesses globally. The business units of the Communication segment include Mobility, Business Wireline and Consumer Wireline. Mobility provides...More          ",,"208 S. Akard StDallas, TX75202United States",Telecommunications,3047,4500000000,2979,2841,68,47.8,,7.1,,1.0,0.3
Phillips 66                     ,PSX,"Phillips 66 is a diversified and integrated downstream energy provider that manufactures, transports and markets products that drive the global economy. The Company’s Midstream segment provides crude oil and refined petroleum product transportation, terminating and processing services, as well as natural gas and natural gas liquids (NGL) transportation, storage, fractionation, gathering, processing and marketing services, mainly in the United States. Its Chemicals segment...More     ",,"2331 Citywest Blvd.Houston, TX77042United States",OilGas,2200,311000000,2133,1920,67,58.3,,9.5,,1.5,0.3
Permian Resources Corp          ,PR,"Permian Resources Corporation is an independent oil and natural gas company. The Company is focused on the acquisition, optimization and development of oil and natural gas properties. The Company's assets and operations are concentrated in the core of the Delaware Basin. Its position consists of over 479,500 net leasehold acres and approximately 94,900 net royalty acres across the Permian Basin. The majority of its assets are concentrated within the Delaware Basin in Eddy and...More ",,"300 N. Marienfeld St., Ste. 1000Midland, TX79701United States",OilGas,654,685500000,615,682,39,91.8,0.2,3.7,,0.2,
Philip Morris International Inc ,PM,"Philip Morris International Inc. is an international tobacco company. The Company's product portfolio primarily consists of cigarettes and smoke-free products, which include heat-not-burn, vapor, and oral nicotine products. The Company’s segments include Europe Region; South and Southeast Asia, Commonwealth of Independent States, Middle East and Africa Region (SSEA, CIS & MEA); East Asia, Australia, and PMI Duty Free Region (EA, AU & PMI DF); Americas Region; Swedish Match...More    ",,"677 Washington Blvd, Ste. 1100Stamford, CT06901United States",Tobacco,2828,1300000000,2759,2136,69,68.3,,6.2,0.3,1.4,
